feature,importance
numeric__total_handoffs,0.08846506503177144
numeric__consecutive_tool_failures_max,0.08846506503177144
numeric__handoff_count,0.08846506503177144
numeric__failed_tool_call_count,0.08846506503177144
numeric__total_tool_responses,0.08846506503177143
numeric__tool_success_rate,0.08846506503177143
numeric__successful_tool_call_count,0.08846506503177143
numeric__average_step_input_length,0.08841766649090022
numeric__total_output_words,0.08837628247173622
numeric__total_input_words,0.08829118353757724
numeric__total_input_chars,0.08785077136235712
numeric__max_step_output_length,0.08734098698158756
numeric__max_retrieved_text_length,0.0857895296406463
numeric__average_retrieved_text_length,0.0857895296406463
numeric__average_retrieved_chars,0.0857895296406463
numeric__handoffs_per_step,0.08151637179647932
numeric__semantic_drift_slope,0.07659085790958248
numeric__average_step_output_length,0.07640268876839834
numeric__total_retrieved_chars,0.07608382760899099
numeric__total_retrieved_text_length,0.07608382760899099
numeric__max_semantic_drift,0.07056205932266925
numeric__min_task_step_similarity,0.07056205932266925
numeric__final_task_step_similarity,0.06917210349734833
numeric__final_semantic_drift,0.06917210349734831
numeric__avg_consecutive_step_similarity,0.05864465466671298
numeric__total_output_chars,0.05352234476444858
numeric__agent_count,0.049439890508736276
numeric__total_agents,0.049439890508736276
numeric__unique_agents,0.049439890508736276
numeric__unique_agent_count,0.049439890508736276
numeric__max_semantic_change,0.03673132028997885
numeric__min_consecutive_step_similarity,0.03673132028997884
numeric__agent_switch_count,0.03290842662812119
numeric__total_steps,0.02967675449514766
numeric__retrieval_count,0.007369835622076338
numeric__total_retrieval_steps,0.007369835622076338
numeric__consecutive_identical_action_max,0.007292382969052826
numeric__max_repeated_sequence_length,0.007292382969052824
numeric__loop_indicator,0.007292382969052824
numeric__repeated_action_count,0.007292382969052824
numeric__dominant_agent_step_count,0.0071436820956185506
numeric__avg_semantic_drift,0.005866478469205118
numeric__avg_task_step_similarity,0.005866478469205079
numeric__tool_diversity,0.005087176132428813
numeric__total_errors,0.004856169242493805
numeric__error_step_count,0.004856169242493805
numeric__errors_per_step,0.004856169242493805
numeric__tool_calls_per_step,0.004789037442738235
numeric__tool_call_count,0.004523539618575232
numeric__total_tool_calls,0.004523539618575232
numeric__tool_error_count,0.003909641626616986
numeric__retrieval_failure_count,0.002755984410853129
numeric__empty_retrieval_count,0.002755984410853129
numeric__total_llm_steps,0.0020325084163688016
numeric__repeated_tool_argument_count,0.001805364679307936
numeric__duplicate_tool_call_count,0.001805364679307936
numeric__repeated_same_arguments_count,0.001805364679307936
numeric__first_error_step_position,0.0007930944381932901
numeric__retrievals_per_step,0.0007039503784589567
categorical__dominant_agent_researcher,0.00010513955590931681
numeric__total_retries,0.0
numeric__unique_tools_used,0.0
numeric__average_retrieval_confidence,0.0
numeric__minimum_retrieval_confidence,0.0
numeric__steps_since_last_successful_action,0.0
numeric__retry_count,0.0
numeric__unique_tool_count,0.0
numeric__average_tool_latency_ms,0.0
numeric__max_tool_latency_ms,0.0
numeric__tool_result_missing_count,0.0
numeric__retries_per_step,0.0
numeric__premature_termination_indicator,0.0
numeric__handoff_information_loss_score,0.0
numeric__sender_receiver_similarity,0.0
numeric__failed_step_count,0.0
numeric__failure_step_ratio,0.0
numeric__success_step_count,0.0
