feature,training_outcome,count,missing_count,minimum,median,maximum
total_steps,SUCCESS,3,0,7.0,7.0,7.0
total_steps,FAILURE,70,0,7.0,8.0,10.0
total_agents,SUCCESS,3,0,4.0,4.0,4.0
total_agents,FAILURE,70,0,3.0,3.0,4.0
total_tool_calls,SUCCESS,3,0,1.0,1.0,1.0
total_tool_calls,FAILURE,70,0,1.0,1.0,3.0
total_tool_responses,SUCCESS,3,0,1.0,1.0,1.0
total_tool_responses,FAILURE,70,0,0.0,0.0,0.0
total_retrieval_steps,SUCCESS,3,0,1.0,1.0,1.0
total_retrieval_steps,FAILURE,70,0,1.0,1.0,3.0
total_llm_steps,SUCCESS,3,0,4.0,4.0,4.0
total_llm_steps,FAILURE,70,0,3.0,4.0,6.0
total_handoffs,SUCCESS,3,0,0.0,0.0,0.0
total_handoffs,FAILURE,70,0,2.0,2.0,2.0
total_retries,SUCCESS,3,0,0.0,0.0,0.0
total_retries,FAILURE,70,0,0.0,0.0,0.0
total_errors,SUCCESS,3,0,0.0,0.0,0.0
total_errors,FAILURE,70,0,0.0,0.0,1.0
unique_tools_used,SUCCESS,3,0,1.0,1.0,1.0
unique_tools_used,FAILURE,70,0,1.0,1.0,1.0
unique_agents,SUCCESS,3,0,4.0,4.0,4.0
unique_agents,FAILURE,70,0,3.0,3.0,4.0
tool_calls_per_step,SUCCESS,3,0,0.1428571428571428,0.1428571428571428,0.1428571428571428
tool_calls_per_step,FAILURE,70,0,0.1,0.125,0.3
retrievals_per_step,SUCCESS,3,0,0.1428571428571428,0.1428571428571428,0.1428571428571428
retrievals_per_step,FAILURE,70,0,0.1,0.125,0.3
retries_per_step,SUCCESS,3,0,0.0,0.0,0.0
retries_per_step,FAILURE,70,0,0.0,0.0,0.0
errors_per_step,SUCCESS,3,0,0.0,0.0,0.0
errors_per_step,FAILURE,70,0,0.0,0.0,0.125
handoffs_per_step,SUCCESS,3,0,0.0,0.0,0.0
handoffs_per_step,FAILURE,70,0,0.2,0.25,0.2857142857142857
tool_call_count,SUCCESS,3,0,1.0,1.0,1.0
tool_call_count,FAILURE,70,0,1.0,1.0,3.0
successful_tool_call_count,SUCCESS,3,0,1.0,1.0,1.0
successful_tool_call_count,FAILURE,70,66,0.0,0.0,0.0
failed_tool_call_count,SUCCESS,3,0,0.0,0.0,0.0
failed_tool_call_count,FAILURE,70,66,1.0,1.0,1.0
tool_success_rate,SUCCESS,3,0,1.0,1.0,1.0
tool_success_rate,FAILURE,70,66,0.0,0.0,0.0
tool_error_count,SUCCESS,3,0,0.0,0.0,0.0
tool_error_count,FAILURE,70,0,0.0,0.0,1.0
duplicate_tool_call_count,SUCCESS,3,0,0.0,0.0,0.0
duplicate_tool_call_count,FAILURE,70,0,0.0,0.0,2.0
repeated_same_arguments_count,SUCCESS,3,0,0.0,0.0,0.0
repeated_same_arguments_count,FAILURE,70,0,0.0,0.0,2.0
consecutive_tool_failures_max,SUCCESS,3,0,0.0,0.0,0.0
consecutive_tool_failures_max,FAILURE,70,66,1.0,1.0,1.0
tool_result_missing_count,SUCCESS,3,0,0.0,0.0,0.0
tool_result_missing_count,FAILURE,70,0,0.0,0.0,0.0
unique_tool_count,SUCCESS,3,0,1.0,1.0,1.0
unique_tool_count,FAILURE,70,0,1.0,1.0,1.0
tool_diversity,SUCCESS,3,0,1.0,1.0,1.0
tool_diversity,FAILURE,70,0,0.3333333333333333,1.0,1.0
average_tool_latency_ms,SUCCESS,3,3,,,
average_tool_latency_ms,FAILURE,70,70,,,
max_tool_latency_ms,SUCCESS,3,3,,,
max_tool_latency_ms,FAILURE,70,70,,,
repeated_action_count,SUCCESS,3,0,0.0,0.0,0.0
repeated_action_count,FAILURE,70,0,0.0,0.0,2.0
repeated_tool_argument_count,SUCCESS,3,0,0.0,0.0,0.0
repeated_tool_argument_count,FAILURE,70,0,0.0,0.0,2.0
consecutive_identical_action_max,SUCCESS,3,0,1.0,1.0,1.0
consecutive_identical_action_max,FAILURE,70,0,1.0,1.0,2.0
retry_count,SUCCESS,3,0,0.0,0.0,0.0
retry_count,FAILURE,70,0,0.0,0.0,0.0
loop_indicator,SUCCESS,3,0,0.0,0.0,0.0
loop_indicator,FAILURE,70,0,0.0,0.0,1.0
premature_termination_indicator,SUCCESS,3,3,,,
premature_termination_indicator,FAILURE,70,70,,,
max_repeated_sequence_length,SUCCESS,3,0,0.0,0.0,0.0
