feature,importance
numeric__previous_step_same_type,0.12838116
categorical__status_ERROR,0.09831568
numeric__previous_step_same_agent,0.073899426
numeric__has_error,0.07190989
numeric__output_length_chars,0.0569699
numeric__output_length_words,0.049708847
categorical__agent_id_wrong_agent,0.049311597
numeric__input_length_chars,0.047966864
categorical__agent_id_researcher,0.047479253
numeric__input_length_words,0.046374198
categorical__tool_name_calculator,0.041636854
numeric__previous_step_similarity,0.04117766
numeric__cumulative_handoffs,0.038548287
numeric__is_llm_step,0.026248144
categorical__tool_name_wrong_tool,0.024980443
numeric__is_retrieval_step,0.024057027
numeric__is_handoff_step,0.02203108
numeric__cumulative_errors,0.020636246
numeric__cumulative_tool_calls,0.019921498
categorical__agent_id_planner,0.014595535
numeric__task_step_similarity,0.013891526
numeric__repeated_action_count_so_far,0.01380964
numeric__cumulative_unique_agents,0.013472637
categorical__agent_id_writer,0.0075115627
numeric__semantic_drift,0.006363999
numeric__is_tool_step,0.00080093654
numeric__cumulative_retrievals,0.0
numeric__cumulative_unique_tools,0.0
numeric__cumulative_retries,0.0
numeric__steps_since_last_successful_action,0.0
numeric__previous_step_same_tool,0.0
categorical__step_type_LLM_CALL,0.0
categorical__step_type_HANDOFF,0.0
categorical__step_type_TOOL_CALL,0.0
categorical__step_type_RETRIEVAL,0.0
categorical__tool_name_UNKNOWN,0.0
categorical__status_UNKNOWN,0.0
