feature,importance
numeric__average_step_output_length,0.14367958025665184
numeric__total_output_chars,0.13606182120292765
numeric__average_step_input_length,0.09496849036020905
numeric__total_input_chars,0.08247843240450227
numeric__avg_consecutive_step_similarity,0.035351987473854575
numeric__semantic_drift_slope,0.03199022231328532
numeric__total_input_words,0.03131327350737022
numeric__total_output_words,0.027746795929894087
numeric__total_steps,0.025868454817916206
numeric__avg_task_step_similarity,0.02310020210369286
numeric__handoffs_per_step,0.020014175034161266
numeric__first_error_step_position,0.018203764174957865
numeric__max_step_output_length,0.01771098006147563
numeric__consecutive_identical_action_max,0.01651919875520382
numeric__avg_semantic_drift,0.015766451251699048
numeric__retrievals_per_step,0.015004058872170671
numeric__loop_indicator,0.014458670073913542
numeric__min_task_step_similarity,0.014056721568132702
numeric__dominant_agent_step_count,0.013980017577230183
numeric__agent_switch_count,0.01382451823358119
numeric__repeated_action_count,0.013737602977799114
numeric__error_step_count,0.012486981852162966
numeric__total_retrieved_chars,0.012150204170055886
numeric__agent_count,0.011701136895340641
numeric__max_semantic_drift,0.011287175532848637
numeric__unique_agents,0.010556273139132726
numeric__tool_calls_per_step,0.009934809523259017
numeric__tool_error_count,0.00972511182317933
numeric__total_agents,0.009710281121046717
numeric__unique_agent_count,0.009362535928759498
numeric__average_retrieved_text_length,0.009008987662666789
numeric__total_errors,0.008867489587703233
numeric__average_retrieved_chars,0.008736865673007691
numeric__empty_retrieval_count,0.007921426999258616
numeric__errors_per_step,0.007917505148277592
numeric__total_llm_steps,0.007779297752321773
numeric__retrieval_failure_count,0.007722501348673058
numeric__max_retrieved_text_length,0.007099562260013367
numeric__total_retrieved_text_length,0.006453634955787484
numeric__max_repeated_sequence_length,0.006361335572534628
numeric__final_task_step_similarity,0.003519208453227557
numeric__final_semantic_drift,0.0029725924686139194
numeric__min_consecutive_step_similarity,0.0023806955684691224
numeric__max_semantic_change,0.002098256288414207
numeric__tool_diversity,0.002087500627161752
numeric__retrieval_count,0.0019337593124850814
numeric__total_tool_calls,0.00153302427115503
numeric__tool_call_count,0.0012355829485890897
numeric__total_retrieval_steps,0.0011568485111589808
numeric__repeated_tool_argument_count,0.00046399565406660625
numeric__duplicate_tool_call_count,4.046364993163627e-18
numeric__repeated_same_arguments_count,1.9526369179705804e-19
numeric__total_tool_responses,0.0
numeric__unique_tools_used,0.0
numeric__total_retries,0.0
numeric__total_handoffs,0.0
numeric__failed_tool_call_count,0.0
numeric__tool_result_missing_count,0.0
numeric__max_tool_latency_ms,0.0
numeric__successful_tool_call_count,0.0
numeric__consecutive_tool_failures_max,0.0
numeric__minimum_retrieval_confidence,0.0
numeric__average_retrieval_confidence,0.0
numeric__premature_termination_indicator,0.0
numeric__steps_since_last_successful_action,0.0
numeric__retry_count,0.0
numeric__unique_tool_count,0.0
numeric__average_tool_latency_ms,0.0
numeric__retries_per_step,0.0
numeric__tool_success_rate,0.0
numeric__sender_receiver_similarity,0.0
numeric__handoff_information_loss_score,0.0
numeric__handoff_count,0.0
numeric__failed_step_count,0.0
numeric__success_step_count,0.0
numeric__failure_step_ratio,0.0
categorical__dominant_agent_researcher,0.0
